survey_year,gender,age,education,income,marital_status,employment,state,citizenship_status,place_birth,parent_nativity,immigrant_generation,immigration_levels_opinion,legalization_support,deportation_worry,political_party
2002,2,NA,1,1,5,2,33,1,2,1,1,3,1,NA,1
2002,2,NA,1,3,1,1,33,1,2,3,2,3,1,NA,2
2002,2,NA,2,NA,2,3,4,NA,NA,NA,NA,NA,1,NA,NA
2002,1,NA,2,21,5,1,33,1,2,3,2,1,1,NA,3
2002,2,NA,1,4,5,1,33,1,2,2,2,3,1,NA,3
2002,2,NA,2,12,5,1,33,1,2,1,3,3,0,NA,1
2002,1,NA,1,2,1,1,33,2,1,NA,1,3,1,NA,3
2002,1,NA,1,3,3,3,4,NA,NA,NA,NA,1,1,NA,2
2002,2,NA,1,3,1,1,4,2,1,NA,1,3,0,NA,NA
2002,2,NA,2,2,5,3,4,NA,NA,NA,NA,1,1,NA,3
2002,2,NA,1,3,1,2,4,2,1,NA,1,2,1,NA,3
2002,2,NA,1,3,3,2,33,1,2,3,2,3,NA,NA,1
2002,1,NA,3,4,1,1,33,2,1,NA,1,3,1,NA,2
2002,2,NA,1,1,3,3,4,1,1,NA,1,3,1,NA,1
2002,1,NA,3,NA,2,1,33,1,2,3,2,3,1,NA,3
2002,2,NA,3,24,1,1,33,1,2,3,1,1,1,NA,1
2002,1,NA,3,NA,5,1,33,2,1,NA,1,3,1,NA,2
2002,2,NA,3,6,2,2,33,2,1,NA,1,3,1,NA,1
2002,2,NA,1,2,1,3,33,1,1,NA,1,3,1,NA,1
2002,2,NA,1,2,5,1,33,2,1,NA,1,3,1,NA,1
2002,2,NA,1,1,5,2,4,2,1,NA,1,3,1,NA,NA
2002,2,NA,1,NA,1,2,33,1,1,NA,1,1,1,NA,3
2002,2,NA,3,22,1,1,33,1,2,3,2,3,0,NA,1
2002,2,NA,1,21,1,1,33,1,1,NA,1,3,1,NA,1
2002,1,NA,1,4,5,3,33,2,1,NA,1,1,1,NA,3
2002,1,NA,1,4,2,1,4,2,1,NA,1,3,1,NA,2
2002,2,NA,1,6,1,2,33,2,1,NA,1,1,1,NA,1
2002,2,NA,1,3,5,3,33,2,1,NA,1,3,1,NA,2
2002,1,NA,1,14,3,3,33,1,1,NA,1,3,1,NA,2
2002,1,NA,3,21,1,1,33,1,2,3,2,1,1,NA,1
2002,1,NA,1,5,1,3,33,2,1,NA,1,3,1,NA,NA
2002,1,NA,2,21,3,1,4,1,2,1,3,1,1,NA,1
2002,1,NA,1,22,1,1,4,1,2,1,3,1,1,NA,NA
2002,2,NA,2,13,5,1,4,NA,NA,NA,NA,3,1,NA,3
2002,1,NA,3,21,3,1,4,1,2,2,2,1,1,NA,NA
2002,2,NA,2,22,1,1,4,1,2,2,2,1,0,NA,1
2002,2,NA,1,12,1,1,4,1,2,3,2,1,1,NA,NA
2002,1,NA,2,21,3,1,4,1,2,1,NA,3,0,NA,1
2002,2,NA,1,NA,1,2,4,1,2,3,2,1,1,NA,1
2002,2,NA,3,22,1,1,4,1,2,1,3,3,1,NA,1
2002,2,NA,1,23,1,2,33,2,1,NA,1,1,1,NA,3
2002,1,NA,2,5,1,1,33,2,1,NA,1,1,1,NA,3
2002,2,NA,1,6,1,2,33,1,2,1,1,3,1,NA,1
2002,2,NA,1,NA,3,2,33,1,2,1,1,3,0,NA,NA
2002,2,NA,1,5,2,3,33,1,2,1,1,3,1,NA,1
2002,1,NA,1,NA,1,1,33,1,2,3,1,3,1,NA,1
2002,1,NA,1,6,1,1,33,2,1,NA,1,NA,1,NA,NA
2002,2,NA,3,4,3,1,33,1,1,NA,1,3,1,NA,1
2002,2,NA,1,2,5,1,33,1,2,1,3,3,0,NA,1
2002,1,NA,1,NA,5,1,4,1,2,1,3,1,1,NA,1
2002,2,NA,1,NA,2,3,4,2,1,NA,1,3,1,NA,NA
2002,2,NA,1,6,1,1,4,1,1,NA,1,1,1,NA,1
2002,1,NA,1,13,5,1,4,2,1,NA,1,1,1,NA,1
2002,2,NA,3,14,3,1,4,1,1,NA,1,1,1,NA,1
2002,1,NA,1,3,2,3,4,1,1,NA,1,3,1,NA,1
2002,1,NA,1,12,1,1,4,2,1,NA,1,1,1,NA,NA
2002,1,NA,1,5,1,1,4,2,1,NA,1,1,1,NA,3
2002,1,NA,1,14,5,3,33,1,2,1,3,1,1,NA,3
2002,1,NA,2,23,3,2,30,1,1,NA,1,3,1,NA,1
2002,1,NA,2,24,1,1,30,2,1,NA,1,1,0,NA,2
2002,2,NA,1,4,4,1,4,NA,NA,NA,NA,1,1,NA,NA
2002,2,NA,1,11,1,3,4,1,1,NA,1,3,1,NA,1
2002,1,NA,3,21,1,1,4,2,1,NA,1,1,1,NA,2
2002,2,NA,2,13,1,1,4,2,1,NA,1,3,1,NA,1
2002,2,NA,1,2,1,3,30,1,2,1,1,3,1,NA,1
2002,2,NA,3,21,1,2,4,1,2,1,3,3,1,NA,1
2002,2,NA,1,1,4,2,4,2,1,NA,1,3,1,NA,3
2002,2,NA,1,NA,5,3,4,1,2,3,2,1,1,NA,2
2002,2,NA,1,NA,1,3,33,2,1,NA,1,1,1,NA,3
2002,2,NA,1,6,1,1,4,2,1,NA,1,3,1,NA,3
2002,1,NA,2,21,2,1,30,1,2,1,1,1,1,NA,1
2002,2,NA,3,NA,2,1,13,NA,NA,NA,NA,1,1,NA,2
2002,2,NA,1,3,3,1,13,2,1,NA,1,3,1,NA,3
2002,2,NA,1,2,2,1,4,2,1,NA,1,2,1,NA,3
2002,1,NA,1,6,1,1,13,2,1,NA,1,2,1,NA,3
2002,1,NA,2,6,1,1,4,2,1,NA,1,1,1,NA,1
2002,2,NA,1,3,3,3,4,1,2,2,2,3,1,NA,3
2002,1,NA,1,5,1,1,33,2,1,NA,1,1,1,NA,2
2002,2,NA,2,4,3,3,30,2,1,NA,1,1,1,NA,NA
2002,2,NA,1,14,1,3,30,1,2,3,1,1,1,NA,NA
2002,1,NA,1,12,1,1,30,1,2,3,1,1,1,NA,1
2002,2,NA,1,11,1,1,30,1,2,3,1,1,1,NA,2
2002,1,NA,2,11,1,1,30,1,1,NA,1,3,1,NA,2
2002,1,NA,1,1,5,3,33,2,1,NA,1,3,0,NA,3
2002,1,NA,2,3,1,1,33,2,1,NA,1,3,1,NA,NA
2002,2,NA,1,6,3,3,4,1,2,3,2,3,0,NA,3
2002,2,NA,1,4,4,3,33,1,2,3,1,3,1,NA,1
2002,2,NA,1,NA,5,1,33,1,1,NA,1,1,0,NA,NA
2002,2,NA,1,11,1,2,4,2,1,NA,1,3,1,NA,1
2002,2,NA,3,22,1,3,33,1,2,3,1,3,1,NA,1
2002,1,NA,2,11,5,1,33,1,2,3,2,3,1,NA,NA
2002,2,NA,3,13,1,1,33,NA,NA,NA,NA,1,1,NA,1
2002,2,NA,1,12,1,1,33,1,1,NA,1,2,1,NA,1
2002,1,NA,3,5,5,3,30,2,1,NA,1,3,1,NA,NA
2002,2,NA,1,6,3,1,33,1,2,1,2,3,0,NA,NA
2002,1,NA,1,5,2,1,13,2,1,NA,1,3,1,NA,NA
2002,1,NA,1,6,1,1,4,2,1,NA,1,1,1,NA,1
2002,1,NA,1,13,1,1,13,1,1,NA,1,3,1,NA,NA
2002,2,NA,1,1,1,2,4,2,1,NA,1,3,1,NA,3
2002,2,NA,1,12,1,1,4,1,2,2,2,2,1,NA,1
2002,2,NA,1,11,1,1,13,NA,NA,NA,NA,3,0,NA,1
2002,2,NA,1,6,3,2,13,1,2,3,1,1,1,NA,1
2002,2,NA,1,NA,1,1,4,2,1,NA,1,2,NA,NA,3
2002,2,NA,3,5,1,3,13,2,1,NA,1,1,1,NA,1
2002,1,NA,2,14,1,1,9,1,1,NA,1,NA,1,NA,2
2002,2,NA,1,4,3,2,33,1,1,NA,1,2,1,NA,1
2002,2,NA,3,4,1,1,9,1,2,1,2,1,1,NA,3
2002,1,NA,3,4,3,1,9,1,1,NA,1,2,1,NA,1
2002,1,NA,2,21,1,3,42,NA,NA,NA,NA,3,0,NA,1
2002,2,NA,1,4,1,1,42,1,1,NA,1,3,1,NA,2
2002,1,NA,1,12,1,1,42,2,1,NA,1,3,1,NA,3
2002,2,NA,1,6,3,1,42,1,2,1,3,3,1,NA,3
2002,2,NA,3,23,1,2,4,1,2,1,3,1,1,NA,2
2002,2,NA,1,4,3,1,9,2,1,NA,1,1,1,NA,3
2002,2,NA,1,NA,1,3,9,1,1,NA,1,3,1,NA,2
2002,1,NA,3,5,5,3,9,1,2,3,2,1,1,NA,2
2002,2,NA,2,6,3,1,9,2,1,NA,1,3,1,NA,2
2002,2,NA,1,5,3,3,9,2,1,NA,1,2,1,NA,NA
2002,2,NA,1,3,3,1,33,1,2,3,1,3,NA,NA,1
2002,2,NA,2,6,3,1,9,2,1,NA,1,1,1,NA,3
2002,2,NA,1,2,5,3,9,1,2,2,2,3,0,NA,NA
2002,1,NA,2,3,1,3,42,NA,NA,NA,NA,3,0,NA,2
2002,1,NA,3,1,1,1,9,2,1,NA,1,1,1,NA,NA
2002,2,NA,1,6,2,2,42,2,1,NA,1,1,1,NA,3
2002,2,NA,3,NA,1,1,42,NA,NA,NA,NA,3,0,NA,3
2002,2,NA,1,2,1,3,42,NA,NA,NA,NA,1,1,NA,3
2002,2,NA,1,24,1,2,4,2,1,NA,1,3,1,NA,1
2002,2,NA,1,3,1,1,42,1,2,3,1,3,1,NA,2
2002,2,NA,1,3,1,1,30,1,2,3,1,1,1,NA,1
2002,2,NA,1,3,1,1,33,2,1,NA,1,3,1,NA,3
2002,2,NA,2,23,1,1,9,1,1,NA,1,3,1,NA,2
2002,2,NA,1,1,5,1,4,2,1,NA,1,2,1,NA,2
2002,1,NA,2,13,1,1,4,1,2,1,3,1,1,NA,3
2002,2,NA,1,3,5,3,30,1,2,3,2,3,1,NA,NA
2002,2,NA,3,3,4,1,9,1,1,NA,1,1,1,NA,1
2002,1,NA,1,4,5,1,9,2,1,NA,1,3,1,NA,3
2002,2,NA,3,6,3,1,33,NA,NA,NA,NA,1,1,NA,1
2002,2,NA,1,4,2,3,30,2,1,NA,1,3,1,NA,1
2002,2,NA,1,NA,1,3,30,1,1,NA,1,3,1,NA,2
2002,2,NA,1,4,3,3,9,1,2,3,2,3,1,NA,2
2002,2,NA,1,NA,5,3,42,1,2,3,2,3,1,NA,1
2002,2,NA,1,NA,1,1,42,2,1,NA,1,1,1,NA,2
2002,2,NA,1,4,1,1,42,1,2,3,2,1,1,NA,1
2002,2,NA,3,6,5,1,42,1,2,3,2,1,1,NA,2
2002,1,NA,1,2,4,3,4,1,1,NA,1,1,1,NA,1
2002,2,NA,1,5,1,3,9,2,1,NA,1,NA,1,NA,2
2002,2,NA,1,6,1,1,30,1,2,3,1,3,1,NA,1
2002,1,NA,1,5,5,1,30,1,1,NA,1,1,1,NA,2
2002,1,NA,1,3,1,3,30,1,1,NA,1,3,1,NA,2
2002,2,NA,3,21,1,1,42,2,1,NA,1,3,1,NA,NA
2002,2,NA,1,21,1,1,33,1,2,1,1,3,0,NA,1
2002,1,NA,2,1,1,1,33,2,1,NA,1,NA,NA,NA,NA
2002,1,NA,1,14,2,2,42,1,2,1,3,1,1,NA,3
2002,2,NA,1,6,3,3,4,1,2,3,1,3,1,NA,1
2002,1,NA,1,4,3,3,4,1,2,1,NA,2,1,NA,2
2002,1,NA,2,1,5,1,13,NA,1,NA,1,1,1,NA,2
2002,2,NA,1,12,1,2,42,2,1,NA,1,3,1,NA,NA
2002,1,NA,3,24,1,1,4,1,1,NA,1,1,1,NA,1
2002,2,NA,1,4,5,1,4,1,2,1,3,3,1,NA,2
2002,2,NA,1,4,3,1,4,2,1,NA,1,3,1,NA,3
2002,1,NA,2,22,1,1,4,1,2,1,3,3,0,NA,3
2002,2,NA,1,4,2,1,30,2,1,NA,1,1,1,NA,NA
2002,1,NA,2,11,3,1,33,2,1,NA,1,NA,1,NA,NA
2002,2,NA,1,4,3,1,33,2,1,NA,1,3,1,NA,1
2002,2,NA,3,25,1,3,33,1,2,1,3,1,1,NA,1
2002,2,NA,1,1,2,2,33,1,2,3,2,1,1,NA,NA
2002,1,NA,2,4,3,1,33,1,2,1,1,1,1,NA,3
2002,2,NA,1,4,1,2,33,1,2,3,1,3,1,NA,NA
2002,1,NA,3,12,5,1,33,NA,NA,NA,NA,3,NA,NA,3
2002,2,NA,1,3,2,3,33,1,2,1,3,3,1,NA,1
2002,1,NA,1,11,2,3,33,1,2,3,1,3,NA,NA,1
2002,2,NA,1,14,1,3,42,1,2,3,2,3,1,NA,1
2002,1,NA,1,23,3,1,42,1,2,3,2,3,1,NA,3
2002,1,NA,1,3,5,3,42,1,2,1,3,3,0,NA,NA
2002,2,NA,1,NA,3,3,42,2,1,NA,1,1,1,NA,NA
2002,2,NA,1,2,1,2,42,2,1,NA,1,3,1,NA,1
2002,1,NA,1,5,5,3,42,1,2,1,3,3,1,NA,NA
2002,1,NA,3,23,1,1,42,1,2,1,3,2,1,NA,1
2002,2,NA,3,19,1,3,4,1,2,2,2,NA,1,NA,1
2002,2,NA,1,12,5,3,9,1,1,NA,1,3,1,NA,1
2002,2,NA,3,24,2,1,33,1,2,3,2,3,1,NA,1
2002,2,NA,2,6,1,3,4,1,2,1,3,1,1,NA,2
2002,2,NA,1,1,3,3,4,2,1,NA,1,3,1,NA,3
2002,1,NA,1,4,3,1,33,2,1,NA,1,3,1,NA,1
2002,1,NA,1,14,5,1,42,2,1,NA,1,1,1,NA,2
2002,2,NA,1,14,3,2,33,2,1,NA,1,3,1,NA,3
2002,2,NA,1,3,5,1,42,2,1,NA,1,3,1,NA,NA
2002,2,NA,1,5,5,1,4,2,1,NA,1,1,1,NA,3
2002,2,NA,2,3,5,3,42,2,1,NA,1,3,1,NA,NA
2002,1,NA,1,3,1,2,42,2,1,NA,1,3,1,NA,3
2002,2,NA,1,3,3,1,9,1,1,NA,1,3,0,NA,3
2002,2,NA,2,24,1,1,4,2,1,NA,1,1,1,NA,2
2002,2,NA,1,1,3,2,42,2,1,NA,1,3,1,NA,3
2002,2,NA,1,4,5,1,4,1,2,1,3,3,0,NA,1
2002,1,NA,1,5,1,1,42,1,1,NA,1,3,1,NA,3
2002,2,NA,1,12,3,1,3,1,2,1,3,3,0,NA,1
2002,1,NA,1,6,1,3,42,2,1,NA,1,1,NA,NA,1
2002,1,NA,3,14,1,1,42,2,1,NA,1,1,1,NA,NA
2002,2,NA,2,5,1,1,4,2,1,NA,1,3,1,NA,2
2002,2,NA,2,24,2,1,42,1,2,1,3,1,1,NA,1
2002,2,NA,1,NA,3,2,3,2,1,NA,1,3,1,NA,2
2002,2,NA,3,21,5,1,30,1,2,3,1,3,1,NA,1
2002,2,NA,2,23,1,1,9,1,2,3,2,3,1,NA,3
2002,2,NA,2,4,3,1,42,1,2,1,3,3,1,NA,3
2002,2,NA,2,13,1,1,42,2,1,NA,1,3,1,NA,1
2002,1,NA,1,6,1,1,42,1,2,1,3,3,1,NA,1
2002,1,NA,2,5,1,3,42,1,2,3,2,1,1,NA,1
2002,2,NA,1,6,1,3,31,1,2,1,3,3,0,NA,1
2002,1,NA,1,13,1,3,33,1,1,NA,1,NA,1,NA,1
2002,1,NA,1,NA,5,3,9,2,1,NA,1,1,1,NA,NA
2002,1,NA,1,11,2,1,42,1,2,1,3,3,1,NA,2
2002,1,NA,3,6,1,1,33,1,2,3,2,3,1,NA,1
2002,2,NA,1,11,1,1,42,1,2,3,2,3,1,NA,3
2002,2,NA,1,NA,5,3,42,2,1,NA,1,1,1,NA,2
2002,2,NA,1,6,1,2,42,2,1,NA,1,3,1,NA,NA
2002,2,NA,1,NA,5,3,42,1,2,3,2,3,1,NA,1
2002,2,NA,1,12,1,2,42,1,2,1,3,3,1,NA,NA
2002,2,NA,3,6,2,1,33,1,2,3,1,3,1,NA,1
2002,1,NA,3,22,5,1,33,1,2,1,1,2,1,NA,3
2002,1,NA,1,5,5,1,30,2,1,NA,1,1,1,NA,NA
2002,1,NA,1,4,5,1,33,2,1,NA,1,1,1,NA,3
2002,2,NA,2,22,1,1,9,1,2,3,1,3,1,NA,3
2002,2,NA,2,22,3,1,4,1,1,NA,1,1,1,NA,1
2002,1,NA,1,4,2,1,33,2,1,NA,1,1,1,NA,3
2002,2,NA,1,1,5,1,33,1,2,3,1,3,1,NA,3
2002,2,NA,1,22,1,3,42,1,2,1,NA,3,0,NA,NA
2002,2,NA,1,3,4,2,9,1,1,NA,1,1,1,NA,1
2002,1,NA,1,4,1,1,5,2,1,NA,1,1,1,NA,1
2002,1,NA,1,NA,1,1,9,1,1,NA,1,3,1,NA,NA
2002,2,NA,1,5,1,1,33,2,1,NA,1,3,1,NA,NA
2002,1,NA,3,11,1,1,42,2,1,NA,1,1,1,NA,2
2002,1,NA,3,24,1,1,4,1,1,NA,1,2,1,NA,2
2002,2,NA,3,5,1,1,9,2,1,NA,1,3,1,NA,NA
2002,2,NA,2,13,3,1,9,1,2,3,2,3,1,NA,3
2002,2,NA,1,5,5,1,42,1,1,NA,1,1,1,NA,1
2002,2,NA,1,2,4,3,3,1,1,NA,1,1,1,NA,1
2002,2,NA,3,23,2,1,31,1,2,1,3,3,1,NA,1
2002,1,NA,1,6,1,1,9,2,1,NA,1,3,1,NA,3
2002,1,NA,3,26,1,1,13,NA,NA,NA,NA,1,NA,NA,1
2002,2,NA,1,6,5,1,30,2,1,NA,1,3,1,NA,1
2002,2,NA,3,11,5,1,9,1,1,NA,1,3,1,NA,2
2002,1,NA,3,6,3,1,9,1,1,NA,1,1,1,NA,3
2002,1,NA,3,14,1,1,30,NA,NA,NA,NA,NA,1,NA,1
2002,2,NA,1,14,1,1,9,1,2,3,2,3,1,NA,3
2002,1,NA,1,12,1,1,9,1,2,3,1,1,1,NA,1
2002,2,NA,2,21,3,1,42,1,2,1,3,1,1,NA,2
2002,1,NA,1,3,3,1,9,1,1,NA,1,1,1,NA,1
2002,2,NA,1,3,4,3,42,NA,NA,NA,NA,1,1,NA,1
2002,1,NA,1,6,3,1,42,NA,NA,NA,NA,NA,1,NA,3
2002,1,NA,1,2,5,1,42,2,1,NA,1,1,1,NA,1
2002,1,NA,2,11,1,1,42,2,1,NA,1,1,1,NA,NA
2002,1,NA,3,23,1,1,42,NA,NA,NA,NA,NA,0,NA,1
2002,2,NA,1,NA,1,2,3,1,2,3,2,1,1,NA,3
2002,2,NA,1,4,1,2,42,2,1,NA,1,3,1,NA,3
2002,2,NA,3,12,1,3,42,1,2,3,2,3,1,NA,1
2002,1,NA,1,5,5,1,3,2,1,NA,1,3,1,NA,3
2002,1,NA,3,14,5,1,5,NA,NA,NA,NA,1,1,NA,1
2002,1,NA,3,11,5,1,31,1,2,1,3,3,1,NA,1
2002,2,NA,1,4,3,3,9,1,1,NA,1,3,1,NA,2
2002,1,NA,3,13,1,1,9,NA,1,NA,1,1,1,NA,3
2002,2,NA,1,11,4,1,9,1,1,NA,1,NA,1,NA,2
2002,2,NA,2,29,2,1,9,1,2,2,2,1,1,NA,3
2002,1,NA,1,21,3,1,30,2,1,NA,1,1,1,NA,2
2002,2,NA,3,3,1,3,9,2,1,NA,1,2,1,NA,NA
2002,2,NA,1,NA,5,1,42,1,2,1,3,2,1,NA,1
2002,1,NA,2,24,2,1,30,1,1,NA,1,1,1,NA,3
2002,2,NA,2,NA,5,1,42,1,2,1,3,3,0,NA,1
2002,1,NA,2,4,5,1,42,1,2,3,2,1,1,NA,NA
2002,1,NA,1,13,5,1,42,1,2,3,2,1,1,NA,2
2002,1,NA,2,11,5,1,42,1,2,1,3,3,1,NA,NA
2002,1,NA,3,22,1,1,9,1,1,NA,1,2,1,NA,1
2002,2,NA,3,11,1,1,30,1,1,NA,1,1,0,NA,3
2002,2,NA,1,1,3,2,31,1,2,1,3,1,1,NA,1
2002,1,NA,1,NA,1,1,9,2,1,NA,1,NA,1,NA,1
2002,2,NA,1,4,2,1,3,2,1,NA,1,3,1,NA,NA
2002,1,NA,1,NA,4,3,42,2,1,NA,1,3,1,NA,1
2002,1,NA,1,6,1,3,31,1,2,3,2,1,1,NA,3
2002,1,NA,2,NA,1,1,42,1,1,NA,1,1,1,NA,3
2002,2,NA,1,11,1,2,9,2,1,NA,1,3,1,NA,NA
2002,2,NA,2,NA,1,3,30,2,1,NA,1,1,1,NA,1
2002,1,NA,2,19,1,3,42,1,2,2,2,3,0,NA,3
2002,2,NA,1,4,2,3,9,1,1,NA,1,3,1,NA,2
2002,1,NA,1,NA,1,1,42,2,1,NA,1,1,1,NA,2
2002,2,NA,1,21,1,1,3,1,2,1,3,1,1,NA,1
2002,2,NA,1,NA,1,3,42,1,2,2,2,3,0,NA,NA
2002,2,NA,3,23,5,1,42,1,2,1,3,1,1,NA,3
2002,1,NA,3,22,1,1,9,2,1,NA,1,1,1,NA,2
2002,2,NA,3,22,1,2,9,1,1,NA,1,3,1,NA,2
2002,1,NA,1,NA,1,3,9,1,1,NA,1,1,1,NA,2
2002,1,NA,1,6,1,3,9,2,1,NA,1,3,1,NA,2
2002,1,NA,1,6,1,3,42,2,1,NA,1,1,1,NA,1
2002,2,NA,3,12,1,1,9,2,1,NA,1,3,1,NA,1
2002,2,NA,1,21,1,2,42,1,2,1,3,3,0,NA,1
2002,1,NA,1,5,1,3,9,1,1,NA,1,3,1,NA,2
2002,1,NA,1,13,1,1,42,2,1,NA,1,1,1,NA,2
2002,2,NA,1,4,2,1,42,1,2,2,2,3,1,NA,3
2002,1,NA,3,23,1,1,42,NA,NA,NA,NA,1,1,NA,3
2002,2,NA,1,3,1,3,42,2,1,NA,1,3,1,NA,3
2002,2,NA,3,NA,4,3,42,NA,NA,NA,NA,NA,1,NA,2
2002,2,NA,1,NA,3,3,42,NA,NA,NA,NA,3,1,NA,2
2002,2,NA,1,11,5,1,9,1,2,2,2,1,1,NA,NA
2002,1,NA,1,1,1,1,9,2,1,NA,1,3,1,NA,NA
2002,2,NA,3,11,1,1,42,NA,NA,NA,NA,1,1,NA,3
2002,1,NA,1,24,5,1,9,2,1,NA,1,1,1,NA,2
2002,1,NA,1,21,1,1,42,NA,NA,NA,NA,3,1,NA,NA
2002,1,NA,1,4,1,1,9,2,1,NA,1,1,1,NA,2
2002,2,NA,3,21,1,1,13,NA,NA,NA,NA,1,1,NA,1
2002,1,NA,3,14,1,1,30,2,1,NA,1,1,1,NA,1
2002,2,NA,2,14,1,2,42,1,2,1,1,3,1,NA,2
2002,2,NA,1,NA,5,3,42,1,2,1,3,1,1,NA,NA
2002,1,NA,1,11,5,3,42,1,2,2,2,1,1,NA,1
2002,1,NA,1,12,1,1,13,1,2,3,2,3,1,NA,3
2002,1,NA,1,14,3,1,42,1,1,NA,1,1,1,NA,3
2002,1,NA,1,2,1,1,42,2,1,NA,1,3,1,NA,3
2002,2,NA,1,5,3,2,42,1,2,1,3,2,0,NA,3
2002,1,NA,1,14,5,1,13,2,1,NA,1,1,1,NA,3
2002,1,NA,1,6,1,1,42,1,1,NA,1,1,1,NA,1
2002,2,NA,2,14,5,3,9,1,2,3,2,2,1,NA,1
2002,2,NA,1,5,1,1,42,1,2,1,3,3,1,NA,1
2002,2,NA,1,3,3,1,9,2,1,NA,1,1,1,NA,NA
2002,1,NA,3,23,1,3,42,1,2,2,2,1,1,NA,1
2002,2,NA,3,23,1,1,31,1,2,1,3,3,1,NA,3
2002,1,NA,1,6,3,1,42,1,2,1,3,1,1,NA,1
2002,2,NA,1,6,1,3,46,2,1,NA,1,3,1,NA,3
2002,2,NA,1,NA,1,3,9,2,1,NA,1,3,1,NA,NA
2002,2,NA,1,4,1,2,42,2,1,NA,1,1,1,NA,2
2002,1,NA,2,13,5,1,42,NA,NA,NA,NA,1,1,NA,2
2002,2,NA,1,1,1,1,42,2,1,NA,1,3,1,NA,1
2002,1,NA,2,23,1,1,42,1,2,2,2,2,1,NA,3
2002,2,NA,NA,2,3,3,9,2,1,NA,1,3,1,NA,NA
2002,1,NA,1,6,1,1,30,1,1,NA,1,3,1,NA,1
2002,2,NA,1,5,4,3,9,1,1,NA,1,3,1,NA,2
2002,1,NA,1,21,1,1,42,1,2,3,2,3,1,NA,2
2002,2,NA,1,1,1,2,42,2,1,NA,1,3,1,NA,3
2002,1,NA,3,25,1,1,42,1,2,1,3,1,1,NA,3
2002,2,NA,1,1,1,2,42,2,1,NA,1,3,1,NA,3
2002,2,NA,2,NA,5,3,42,1,2,3,2,1,1,NA,1
2002,1,NA,1,6,3,1,42,2,1,NA,1,3,1,NA,3
2002,1,NA,1,22,1,1,13,1,1,NA,1,1,1,NA,1
2002,1,NA,1,NA,1,1,3,1,1,NA,1,2,1,NA,1
2002,2,NA,2,12,1,3,9,1,1,NA,1,3,1,NA,2
2002,2,NA,3,3,1,1,9,2,1,NA,1,3,1,NA,NA
2002,1,NA,1,NA,1,3,13,1,1,NA,1,1,1,NA,NA
2002,2,NA,1,12,5,3,9,1,2,3,2,3,0,NA,3
2002,2,NA,1,3,2,2,30,2,1,NA,1,3,1,NA,1
2002,1,NA,1,6,3,1,9,2,1,NA,1,3,1,NA,1
2002,1,NA,2,11,2,1,42,1,2,1,NA,NA,1,NA,NA
2002,1,NA,1,14,2,1,9,1,1,NA,1,NA,1,NA,2
2002,2,NA,1,2,5,3,9,1,2,3,2,1,1,NA,NA
2002,1,NA,1,4,5,1,42,2,1,NA,1,3,1,NA,3
2002,1,NA,1,11,1,1,42,1,2,1,3,3,0,NA,3
