gender,age,education,income,marital_status,employment,state,citizenship_status,place_birth,parent_nativity,immigrant_generation,immigration_levels_opinion,legalization_support,deportation_worry,political_party
1,40,NA,4,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
0,38,NA,NA,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
1,18,NA,4,NA,NA,10,NA,2,NA,1,NA,1,NA,NA
0,55,NA,NA,NA,NA,4,NA,1,1,3,NA,0.5,NA,NA
1,32,NA,NA,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
0,69,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,32,NA,3,NA,NA,2,NA,2,NA,1,NA,1,NA,NA
0,31,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,37,NA,21,NA,NA,25,NA,2,NA,1,NA,1,NA,NA
1,24,NA,24,NA,NA,4,NA,1,3,2,NA,1,NA,NA
1,39,NA,3,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,38,NA,23,NA,NA,4,NA,1,1,3,NA,1,NA,NA
0,41,NA,23,NA,NA,9,NA,1,NA,NA,NA,1,NA,NA
0,21,NA,2,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
1,49,NA,NA,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
0,44,NA,11,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
0,40,NA,6,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
1,39,NA,4,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
1,46,NA,29,NA,NA,9,NA,1,1,3,NA,0.5,NA,NA
0,48,NA,NA,NA,NA,25,NA,2,NA,1,NA,1,NA,NA
1,21,NA,4,NA,NA,4,NA,1,3,2,NA,1,NA,NA
1,50,NA,NA,NA,NA,25,NA,2,NA,1,NA,1,NA,NA
1,26,NA,6,NA,NA,9,NA,1,1,3,NA,1,NA,NA
0,37,NA,5,NA,NA,13,NA,1,3,2,NA,1,NA,NA
1,26,NA,6,NA,NA,25,NA,2,NA,1,NA,1,NA,NA
1,32,NA,NA,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
1,23,NA,13,NA,NA,40,NA,1,3,2,NA,1,NA,NA
1,33,NA,4,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
0,23,NA,14,NA,NA,4,NA,1,3,2,NA,1,NA,NA
0,26,NA,22,NA,NA,4,NA,1,2,2,NA,1,NA,NA
1,32,NA,6,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,24,NA,21,NA,NA,3,NA,1,1,3,NA,1,NA,NA
0,29,NA,23,NA,NA,4,NA,1,1,3,NA,0.5,NA,NA
1,26,NA,22,NA,NA,4,NA,1,1,3,NA,1,NA,NA
0,36,NA,19,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,37,NA,24,NA,NA,36,NA,1,1,3,NA,1,NA,NA
1,52,NA,6,NA,NA,33,NA,2,NA,1,NA,1,NA,NA
0,36,NA,NA,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
1,35,NA,3,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,49,NA,NA,NA,NA,36,NA,1,3,2,NA,NA,NA,NA
0,26,NA,14,NA,NA,15,NA,1,2,2,NA,1,NA,NA
1,33,NA,12,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,35,NA,3,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,72,NA,NA,NA,NA,3,NA,2,NA,1,NA,1,NA,NA
1,23,NA,1,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,59,NA,11,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,49,NA,5,NA,NA,6,NA,2,NA,1,NA,1,NA,NA
1,44,NA,6,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
1,43,NA,24,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,37,NA,26,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,26,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,35,NA,5,NA,NA,6,NA,1,1,3,NA,0.5,NA,NA
1,30,NA,23,NA,NA,4,NA,1,1,3,NA,1,NA,NA
1,38,NA,12,NA,NA,4,NA,1,1,3,NA,1,NA,NA
0,34,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,45,NA,5,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,18,NA,4,NA,NA,4,NA,1,2,2,NA,1,NA,NA
0,21,NA,6,NA,NA,4,NA,1,1,3,NA,1,NA,NA
0,23,NA,NA,NA,NA,4,NA,1,1,3,NA,1,NA,NA
1,32,NA,NA,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
0,32,NA,26,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
0,20,NA,2,NA,NA,36,NA,1,2,2,NA,1,NA,NA
0,36,NA,21,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,35,NA,6,NA,NA,25,NA,2,NA,1,NA,1,NA,NA
0,22,NA,22,NA,NA,36,NA,1,3,2,NA,1,NA,NA
1,32,NA,4,NA,NA,23,NA,2,NA,1,NA,1,NA,NA
0,31,NA,11,NA,NA,3,NA,1,1,3,NA,0.5,NA,NA
1,28,NA,21,NA,NA,11,NA,2,NA,1,NA,1,NA,NA
0,45,NA,23,NA,NA,4,NA,1,3,2,NA,1,NA,NA
1,41,NA,23,NA,NA,26,NA,1,1,3,NA,1,NA,NA
0,22,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,28,NA,24,NA,NA,4,NA,1,3,2,NA,1,NA,NA
1,58,NA,11,NA,NA,4,NA,1,2,2,NA,1,NA,NA
1,41,NA,24,NA,NA,4,NA,1,2,2,NA,0.5,NA,NA
0,72,NA,NA,NA,NA,3,NA,2,NA,1,NA,NA,NA,NA
0,49,NA,14,NA,NA,4,NA,1,1,3,NA,1,NA,NA
1,42,NA,14,NA,NA,4,NA,1,1,3,NA,1,NA,NA
0,55,NA,5,NA,NA,28,NA,1,1,3,NA,1,NA,NA
1,28,NA,12,NA,NA,33,NA,2,NA,1,NA,1,NA,NA
1,24,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,43,NA,13,NA,NA,32,NA,1,NA,NA,NA,1,NA,NA
1,73,NA,11,NA,NA,28,NA,1,3,2,NA,0.5,NA,NA
0,25,NA,5,NA,NA,9,NA,2,NA,1,NA,0.5,NA,NA
0,50,NA,23,NA,NA,36,NA,1,1,3,NA,0.5,NA,NA
0,41,NA,24,NA,NA,38,NA,1,NA,NA,NA,1,NA,NA
1,18,NA,22,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
0,51,NA,24,NA,NA,28,NA,1,NA,NA,NA,1,NA,NA
0,52,NA,NA,NA,NA,28,NA,1,NA,NA,NA,1,NA,NA
0,54,NA,29,NA,NA,25,NA,2,NA,1,NA,1,NA,NA
0,40,NA,5,NA,NA,17,NA,1,2,2,NA,1,NA,NA
1,80,NA,6,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
0,37,NA,22,NA,NA,13,NA,2,NA,1,NA,1,NA,NA
0,NA,NA,13,NA,NA,26,NA,1,1,3,NA,0.5,NA,NA
0,34,NA,3,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
0,37,NA,NA,NA,NA,5,NA,2,NA,1,NA,1,NA,NA
1,54,NA,11,NA,NA,3,NA,2,NA,1,NA,1,NA,NA
1,26,NA,3,NA,NA,36,NA,1,2,2,NA,1,NA,NA
1,22,NA,21,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
0,69,NA,NA,NA,NA,36,NA,1,1,3,NA,1,NA,NA
0,28,NA,6,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
0,62,NA,24,NA,NA,36,NA,1,1,3,NA,1,NA,NA
1,30,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,34,NA,11,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,22,NA,22,NA,NA,4,NA,1,1,3,NA,1,NA,NA
0,42,NA,6,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
0,36,NA,4,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,38,NA,23,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
0,38,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,28,NA,23,NA,NA,10,NA,1,1,3,NA,1,NA,NA
1,36,NA,3,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
0,41,NA,4,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
1,45,NA,12,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
0,27,NA,23,NA,NA,18,NA,2,NA,1,NA,1,NA,NA
0,24,NA,1,NA,NA,10,NA,2,NA,1,NA,1,NA,NA
1,45,NA,22,NA,NA,18,NA,2,NA,1,NA,1,NA,NA
1,34,NA,23,NA,NA,25,NA,1,2,2,NA,1,NA,NA
0,48,NA,13,NA,NA,36,NA,1,3,2,NA,1,NA,NA
1,20,NA,11,NA,NA,36,NA,1,3,2,NA,1,NA,NA
0,28,NA,NA,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
0,39,NA,13,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
0,45,NA,14,NA,NA,36,NA,1,2,2,NA,1,NA,NA
1,35,NA,29,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
1,39,NA,13,NA,NA,36,NA,1,1,3,NA,0.5,NA,NA
0,50,NA,6,NA,NA,36,NA,1,1,3,NA,1,NA,NA
1,40,NA,1,NA,NA,5,NA,2,NA,1,NA,1,NA,NA
1,51,NA,24,NA,NA,26,NA,1,1,3,NA,1,NA,NA
0,42,NA,6,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
1,59,NA,14,NA,NA,37,NA,2,NA,1,NA,1,NA,NA
0,69,NA,5,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
0,33,NA,23,NA,NA,36,NA,1,3,2,NA,1,NA,NA
1,43,NA,23,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
0,59,NA,NA,NA,NA,30,NA,2,NA,1,NA,1,NA,NA
1,31,NA,13,NA,NA,33,NA,2,NA,1,NA,NA,NA,NA
0,29,NA,23,NA,NA,4,NA,1,2,2,NA,NA,NA,NA
1,35,NA,6,NA,NA,5,NA,2,NA,1,NA,1,NA,NA
1,23,NA,21,NA,NA,3,NA,1,2,2,NA,1,NA,NA
1,36,NA,6,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
1,26,NA,5,NA,NA,36,NA,1,1,3,NA,1,NA,NA
0,40,NA,13,NA,NA,18,NA,2,NA,1,NA,1,NA,NA
1,33,NA,21,NA,NA,4,NA,1,3,2,NA,1,NA,NA
1,18,NA,2,NA,NA,4,NA,1,3,2,NA,1,NA,NA
1,48,NA,22,NA,NA,4,NA,1,1,3,NA,1,NA,NA
0,44,NA,25,NA,NA,4,NA,1,1,3,NA,0.5,NA,NA
0,45,NA,21,NA,NA,4,NA,1,1,3,NA,1,NA,NA
0,19,NA,13,NA,NA,4,NA,1,2,2,NA,1,NA,NA
0,48,NA,24,NA,NA,3,NA,1,1,3,NA,1,NA,NA
0,40,NA,24,NA,NA,4,NA,1,2,2,NA,1,NA,NA
0,19,NA,11,NA,NA,26,NA,1,1,3,NA,1,NA,NA
0,60,NA,24,NA,NA,4,NA,1,2,2,NA,1,NA,NA
1,20,NA,24,NA,NA,3,NA,1,1,3,NA,1,NA,NA
0,35,NA,6,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
1,57,NA,24,NA,NA,9,NA,2,NA,1,NA,NA,NA,NA
1,51,NA,NA,NA,NA,7,NA,2,NA,1,NA,1,NA,NA
1,19,NA,11,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,30,NA,21,NA,NA,13,NA,1,3,2,NA,1,NA,NA
1,19,NA,2,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
1,32,NA,29,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,24,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,33,NA,5,NA,NA,38,NA,2,NA,1,NA,1,NA,NA
0,36,NA,14,NA,NA,36,NA,1,3,2,NA,1,NA,NA
1,37,NA,13,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,58,NA,4,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
0,71,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,24,NA,3,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
0,21,NA,6,NA,NA,13,NA,2,NA,1,NA,1,NA,NA
1,42,NA,21,NA,NA,4,NA,1,1,3,NA,0.5,NA,NA
0,47,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,34,NA,NA,NA,NA,23,NA,1,3,2,NA,1,NA,NA
0,74,NA,6,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,28,NA,6,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,49,NA,5,NA,NA,25,NA,2,NA,1,NA,1,NA,NA
1,30,NA,21,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,50,NA,25,NA,NA,4,NA,1,2,2,NA,1,NA,NA
0,28,NA,NA,NA,NA,3,NA,2,NA,1,NA,1,NA,NA
1,26,NA,5,NA,NA,13,NA,2,NA,1,NA,1,NA,NA
0,28,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,48,NA,6,NA,NA,15,NA,2,NA,1,NA,1,NA,NA
1,21,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,56,NA,NA,NA,NA,3,NA,2,NA,1,NA,1,NA,NA
0,35,NA,14,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,32,NA,NA,NA,NA,19,NA,2,NA,1,NA,1,NA,NA
1,40,NA,21,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
1,27,NA,NA,NA,NA,10,NA,2,NA,1,NA,1,NA,NA
1,28,NA,22,NA,NA,17,NA,2,NA,1,NA,1,NA,NA
1,19,NA,3,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
0,32,NA,NA,NA,NA,13,NA,2,NA,1,NA,1,NA,NA
0,19,NA,2,NA,NA,13,NA,2,NA,1,NA,1,NA,NA
1,23,NA,21,NA,NA,17,NA,2,NA,1,NA,1,NA,NA
1,33,NA,19,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
0,36,NA,5,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,49,NA,6,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,25,NA,3,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,36,NA,1,NA,NA,28,NA,1,NA,NA,NA,1,NA,NA
0,31,NA,6,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,NA,NA,NA,NA,NA,13,NA,2,NA,1,NA,1,NA,NA
1,31,NA,5,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,27,NA,5,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,41,NA,NA,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
0,45,NA,2,NA,NA,6,NA,1,NA,NA,NA,1,NA,NA
0,65,NA,4,NA,NA,25,NA,1,1,3,NA,0.5,NA,NA
1,18,NA,23,NA,NA,36,NA,1,1,3,NA,1,NA,NA
1,44,NA,NA,NA,NA,38,NA,1,3,2,NA,1,NA,NA
1,22,NA,5,NA,NA,36,NA,1,3,2,NA,1,NA,NA
0,30,NA,23,NA,NA,36,NA,1,2,2,NA,1,NA,NA
1,46,NA,23,NA,NA,13,NA,2,NA,1,NA,1,NA,NA
1,81,NA,NA,NA,NA,17,NA,2,NA,1,NA,1,NA,NA
1,21,NA,24,NA,NA,13,NA,1,1,3,NA,1,NA,NA
1,26,NA,5,NA,NA,31,NA,1,1,3,NA,1,NA,NA
1,42,NA,14,NA,NA,36,NA,1,1,3,NA,1,NA,NA
0,34,NA,24,NA,NA,27,NA,2,NA,1,NA,1,NA,NA
0,38,NA,23,NA,NA,4,NA,1,1,3,NA,1,NA,NA
0,52,NA,23,NA,NA,4,NA,1,1,3,NA,NA,NA,NA
1,34,NA,22,NA,NA,38,NA,1,3,2,NA,1,NA,NA
1,25,NA,NA,NA,NA,6,NA,1,NA,NA,NA,0.5,NA,NA
0,27,NA,21,NA,NA,22,NA,1,1,3,NA,1,NA,NA
0,50,NA,6,NA,NA,17,NA,1,NA,NA,NA,1,NA,NA
0,68,NA,24,NA,NA,8,NA,1,2,2,NA,1,NA,NA
1,20,NA,22,NA,NA,13,NA,2,NA,1,NA,1,NA,NA
1,30,NA,13,NA,NA,28,NA,1,2,2,NA,1,NA,NA
1,29,NA,12,NA,NA,13,NA,1,NA,NA,NA,0.5,NA,NA
0,58,NA,24,NA,NA,18,NA,1,NA,NA,NA,0.5,NA,NA
1,40,NA,11,NA,NA,36,NA,1,1,3,NA,1,NA,NA
1,30,NA,21,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
1,34,NA,13,NA,NA,5,NA,1,1,3,NA,1,NA,NA
1,49,NA,13,NA,NA,15,NA,1,NA,NA,NA,1,NA,NA
1,48,NA,11,NA,NA,12,NA,2,NA,1,NA,1,NA,NA
1,22,NA,3,NA,NA,40,NA,2,NA,1,NA,1,NA,NA
1,26,NA,12,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
0,42,NA,14,NA,NA,4,NA,1,1,3,NA,0.5,NA,NA
0,23,NA,13,NA,NA,4,NA,1,1,3,NA,1,NA,NA
0,35,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,48,NA,13,NA,NA,4,NA,1,1,3,NA,1,NA,NA
0,57,NA,14,NA,NA,4,NA,1,1,3,NA,0.5,NA,NA
1,40,NA,22,NA,NA,4,NA,1,1,3,NA,1,NA,NA
1,68,NA,29,NA,NA,4,NA,1,1,3,NA,0.5,NA,NA
1,69,NA,4,NA,NA,4,NA,1,1,3,NA,NA,NA,NA
0,47,NA,22,NA,NA,18,NA,2,NA,1,NA,1,NA,NA
0,45,NA,NA,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
1,32,NA,23,NA,NA,4,NA,1,3,2,NA,1,NA,NA
1,32,NA,21,NA,NA,9,NA,2,NA,1,NA,NA,NA,NA
0,47,NA,29,NA,NA,28,NA,1,NA,NA,NA,1,NA,NA
0,48,NA,22,NA,NA,4,NA,1,2,2,NA,1,NA,NA
0,40,NA,6,NA,NA,25,NA,2,NA,1,NA,1,NA,NA
1,49,NA,23,NA,NA,11,NA,1,1,3,NA,1,NA,NA
1,53,NA,25,NA,NA,4,NA,1,1,3,NA,0.5,NA,NA
1,42,NA,14,NA,NA,32,NA,2,NA,1,NA,1,NA,NA
1,23,NA,6,NA,NA,11,NA,1,1,3,NA,1,NA,NA
1,31,NA,11,NA,NA,32,NA,2,NA,1,NA,1,NA,NA
0,71,NA,12,NA,NA,25,NA,1,NA,NA,NA,1,NA,NA
1,42,NA,26,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
1,23,NA,12,NA,NA,25,NA,1,1,3,NA,0.5,NA,NA
0,49,NA,4,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
0,40,NA,6,NA,NA,28,NA,1,1,3,NA,1,NA,NA
1,26,NA,22,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
1,36,NA,1,NA,NA,9,NA,1,1,3,NA,1,NA,NA
0,19,NA,2,NA,NA,36,NA,1,1,3,NA,1,NA,NA
1,54,NA,23,NA,NA,36,NA,1,1,3,NA,NA,NA,NA
0,32,NA,6,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
1,18,NA,NA,NA,NA,4,NA,1,3,2,NA,1,NA,NA
0,66,NA,11,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,33,NA,12,NA,NA,4,NA,1,2,2,NA,1,NA,NA
0,43,NA,12,NA,NA,27,NA,1,1,3,NA,1,NA,NA
0,28,NA,NA,NA,NA,28,NA,1,NA,NA,NA,NA,NA,NA
0,21,NA,4,NA,NA,25,NA,1,NA,NA,NA,1,NA,NA
1,22,NA,24,NA,NA,28,NA,1,3,2,NA,1,NA,NA
1,35,NA,NA,NA,NA,9,NA,1,2,2,NA,NA,NA,NA
1,34,NA,5,NA,NA,10,NA,2,NA,1,NA,1,NA,NA
1,36,NA,3,NA,NA,13,NA,2,NA,1,NA,1,NA,NA
0,27,NA,NA,NA,NA,23,NA,2,NA,1,NA,1,NA,NA
1,20,NA,3,NA,NA,22,NA,2,NA,1,NA,1,NA,NA
0,26,NA,2,NA,NA,10,NA,2,NA,1,NA,1,NA,NA
0,44,NA,3,NA,NA,9,NA,2,NA,1,NA,0.5,NA,NA
1,35,NA,12,NA,NA,27,NA,2,NA,1,NA,1,NA,NA
0,30,NA,5,NA,NA,40,NA,2,NA,1,NA,1,NA,NA
0,36,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,33,NA,22,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,29,NA,5,NA,NA,4,NA,1,2,2,NA,0.5,NA,NA
1,32,NA,11,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,57,NA,2,NA,NA,4,NA,2,NA,1,NA,0.5,NA,NA
1,66,NA,5,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,76,NA,4,NA,NA,4,NA,1,1,3,NA,1,NA,NA
0,25,NA,4,NA,NA,27,NA,2,NA,1,NA,1,NA,NA
0,33,NA,NA,NA,NA,24,NA,2,NA,1,NA,1,NA,NA
1,27,NA,6,NA,NA,28,NA,1,2,2,NA,1,NA,NA
0,27,NA,23,NA,NA,41,NA,1,1,3,NA,1,NA,NA
0,34,NA,3,NA,NA,22,NA,2,NA,1,NA,1,NA,NA
1,49,NA,24,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
0,30,NA,4,NA,NA,36,NA,1,3,2,NA,1,NA,NA
0,40,NA,3,NA,NA,13,NA,2,NA,1,NA,1,NA,NA
0,21,NA,5,NA,NA,4,NA,1,1,3,NA,1,NA,NA
0,40,NA,14,NA,NA,36,NA,1,NA,NA,NA,0.5,NA,NA
1,19,NA,NA,NA,NA,4,NA,1,3,2,NA,1,NA,NA
1,31,NA,21,NA,NA,4,NA,1,1,3,NA,0.5,NA,NA
0,46,NA,5,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,75,NA,NA,NA,NA,4,NA,2,NA,1,NA,NA,NA,NA
0,49,NA,4,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
0,35,NA,12,NA,NA,6,NA,2,NA,1,NA,1,NA,NA
1,38,NA,12,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
1,33,NA,21,NA,NA,21,NA,2,NA,1,NA,1,NA,NA
1,54,NA,4,NA,NA,9,NA,2,NA,1,NA,NA,NA,NA
0,76,NA,21,NA,NA,4,NA,1,2,2,NA,0.5,NA,NA
0,41,NA,4,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,47,NA,13,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,23,NA,4,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
0,32,NA,4,NA,NA,19,NA,1,2,2,NA,1,NA,NA
0,38,NA,14,NA,NA,9,NA,1,2,2,NA,1,NA,NA
1,56,NA,3,NA,NA,5,NA,1,3,2,NA,1,NA,NA
0,29,NA,12,NA,NA,4,NA,1,2,2,NA,1,NA,NA
1,44,NA,6,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,35,NA,12,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,19,NA,5,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,66,NA,13,NA,NA,3,NA,1,1,3,NA,1,NA,NA
1,19,NA,13,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
0,25,NA,NA,NA,NA,15,NA,2,NA,1,NA,1,NA,NA
1,48,NA,25,NA,NA,28,NA,1,NA,NA,NA,0.5,NA,NA
0,24,NA,14,NA,NA,32,NA,1,2,2,NA,1,NA,NA
0,28,NA,21,NA,NA,9,NA,1,2,2,NA,1,NA,NA
0,64,NA,3,NA,NA,9,NA,2,NA,1,NA,0.5,NA,NA
0,23,NA,NA,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
1,34,NA,4,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
1,25,NA,5,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
1,25,NA,22,NA,NA,3,NA,1,3,2,NA,1,NA,NA
1,30,NA,22,NA,NA,5,NA,2,NA,1,NA,0.5,NA,NA
0,50,NA,14,NA,NA,4,NA,1,1,3,NA,1,NA,NA
1,46,NA,5,NA,NA,3,NA,2,NA,1,NA,1,NA,NA
0,44,NA,11,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,22,NA,2,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,30,NA,5,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,48,NA,14,NA,NA,4,NA,1,2,2,NA,1,NA,NA
0,21,NA,12,NA,NA,4,NA,1,1,3,NA,1,NA,NA
0,24,NA,13,NA,NA,4,NA,1,2,2,NA,1,NA,NA
1,37,NA,21,NA,NA,3,NA,2,NA,1,NA,0.5,NA,NA
0,52,NA,NA,NA,NA,4,NA,1,1,3,NA,1,NA,NA
1,34,NA,6,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,28,NA,6,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,37,NA,23,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
1,51,NA,25,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
1,38,NA,23,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
1,30,NA,NA,NA,NA,9,NA,1,2,2,NA,1,NA,NA
1,38,NA,23,NA,NA,38,NA,2,NA,1,NA,1,NA,NA
0,47,NA,26,NA,NA,6,NA,1,2,2,NA,1,NA,NA
0,53,NA,24,NA,NA,28,NA,1,NA,NA,NA,0.5,NA,NA
1,38,NA,14,NA,NA,36,NA,1,3,2,NA,1,NA,NA
0,37,NA,23,NA,NA,4,NA,1,2,2,NA,1,NA,NA
0,21,NA,13,NA,NA,4,NA,1,3,2,NA,1,NA,NA
1,59,NA,22,NA,NA,4,NA,2,NA,1,NA,0.5,NA,NA
1,42,NA,13,NA,NA,4,NA,1,1,3,NA,1,NA,NA
0,21,NA,6,NA,NA,4,NA,1,1,3,NA,0.5,NA,NA
1,37,NA,13,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,46,NA,21,NA,NA,5,NA,1,1,3,NA,1,NA,NA
0,25,NA,4,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
1,41,NA,24,NA,NA,28,NA,1,2,2,NA,1,NA,NA
1,30,NA,13,NA,NA,36,NA,1,1,3,NA,1,NA,NA
0,46,NA,5,NA,NA,36,NA,1,1,3,NA,0.5,NA,NA
1,20,NA,NA,NA,NA,36,NA,1,1,3,NA,1,NA,NA
0,37,NA,NA,NA,NA,4,NA,2,NA,1,NA,NA,NA,NA
1,61,NA,3,NA,NA,3,NA,1,1,3,NA,1,NA,NA
1,27,NA,5,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
0,37,NA,11,NA,NA,4,NA,1,1,3,NA,1,NA,NA
1,41,NA,22,NA,NA,4,NA,1,2,2,NA,1,NA,NA
1,28,NA,2,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,49,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,50,NA,1,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,43,NA,22,NA,NA,9,NA,1,1,3,NA,0.5,NA,NA
0,18,NA,23,NA,NA,4,NA,1,1,3,NA,1,NA,NA
