survey_year,gender,age,education,income,marital_status,employment,state,citizenship_status,place_birth,parent_nativity,immigrant_generation,immigration_levels_opinion,legalization_support,deportation_worry,political_party
2006,NA,50,1,NA,1,NA,NA,1,2,NA,1,NA,0.5,NA,3
2006,NA,33,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,22,1,NA,5,NA,NA,NA,1,3,2,NA,0.5,NA,2
2006,NA,52,1,NA,3,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,55,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,28,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,33,1,NA,NA,NA,NA,NA,1,2,2,NA,1,NA,NA
2006,NA,38,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,62,1,NA,3,NA,NA,NA,1,2,2,NA,0.5,NA,1
2006,NA,44,1,NA,3,NA,NA,2,2,NA,1,NA,0.5,NA,1
2006,NA,50,1,NA,3,NA,NA,NA,1,1,3,NA,1,NA,1
2006,NA,34,1,NA,1,NA,NA,1,2,NA,1,NA,0.5,NA,NA
2006,NA,33,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,43,1,NA,1,NA,NA,2,2,NA,1,NA,0.5,NA,NA
2006,NA,43,1,NA,3,NA,NA,2,2,NA,1,NA,NA,NA,3
2006,NA,36,1,NA,1,NA,NA,2,2,NA,1,NA,0.5,NA,1
2006,NA,48,1,NA,3,NA,NA,NA,1,1,3,NA,0,NA,NA
2006,NA,44,1,NA,1,NA,NA,1,2,NA,1,NA,1,NA,3
2006,NA,22,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,42,1,NA,5,NA,NA,NA,1,1,3,NA,1,NA,NA
2006,NA,21,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,2
2006,NA,25,1,NA,2,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,19,1,NA,5,NA,NA,NA,1,3,2,NA,1,NA,1
2006,NA,NA,NA,NA,2,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,72,1,NA,3,NA,NA,NA,1,3,2,NA,0.5,NA,1
2006,NA,42,1,NA,1,NA,NA,1,2,NA,1,NA,0.5,NA,1
2006,NA,24,1,NA,5,NA,NA,2,2,NA,1,NA,0.5,NA,3
2006,NA,22,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,73,1,NA,NA,NA,NA,1,2,NA,1,NA,1,NA,2
2006,NA,19,1,NA,5,NA,NA,NA,1,2,2,NA,1,NA,3
2006,NA,43,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,48,1,NA,1,NA,NA,NA,1,1,3,NA,0,NA,NA
2006,NA,35,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,47,1,NA,1,NA,NA,1,2,NA,1,NA,0,NA,2
2006,NA,50,1,NA,NA,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,NA,1,NA,4,NA,NA,1,2,NA,1,NA,0.5,NA,3
2006,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,74,1,NA,4,NA,NA,1,2,NA,1,NA,0.5,NA,1
2006,NA,46,1,NA,4,NA,NA,NA,1,3,2,NA,0.5,NA,NA
2006,NA,30,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,60,1,NA,3,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,1,NA,NA
2006,NA,30,1,NA,3,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,46,1,NA,3,NA,NA,1,2,NA,1,NA,0.5,NA,1
2006,NA,28,1,NA,2,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,46,1,NA,5,NA,NA,1,2,NA,1,NA,0.5,NA,1
2006,NA,52,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,45,1,NA,5,NA,NA,NA,1,2,2,NA,1,NA,1
2006,NA,35,1,NA,1,NA,NA,2,2,NA,1,NA,0.5,NA,NA
2006,NA,41,1,NA,5,NA,NA,1,2,NA,1,NA,0.5,NA,NA
2006,NA,67,1,NA,3,NA,NA,1,2,NA,1,NA,0.5,NA,NA
2006,NA,43,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,35,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,50,1,NA,2,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,46,1,NA,1,NA,NA,2,2,NA,1,NA,0.5,NA,2
2006,NA,75,1,NA,3,NA,NA,1,2,NA,1,NA,NA,NA,2
2006,NA,44,1,NA,5,NA,NA,NA,1,1,3,NA,1,NA,1
2006,NA,55,1,NA,1,NA,NA,2,2,NA,1,NA,NA,NA,NA
2006,NA,35,1,NA,1,NA,NA,NA,2,NA,1,NA,1,NA,NA
2006,NA,31,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,58,NA,NA,4,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,73,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,75,1,NA,1,NA,NA,NA,1,3,2,NA,0.5,NA,3
2006,NA,22,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,20,1,NA,3,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,30,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,71,1,NA,3,NA,NA,NA,1,1,3,NA,0.5,NA,NA
2006,NA,27,1,NA,3,NA,NA,NA,1,3,2,NA,1,NA,NA
2006,NA,56,1,NA,1,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,35,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,36,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,2
2006,NA,32,NA,NA,2,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,31,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,NA,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,32,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,47,1,NA,2,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,44,1,NA,5,NA,NA,1,2,NA,1,NA,0.5,NA,1
2006,NA,38,1,NA,1,NA,NA,1,2,NA,1,NA,1,NA,2
2006,NA,26,1,NA,1,NA,NA,NA,1,3,2,NA,1,NA,1
2006,NA,81,1,NA,4,NA,NA,NA,1,1,3,NA,0.5,NA,1
2006,NA,50,1,NA,3,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,50,1,NA,1,NA,NA,2,2,NA,1,NA,NA,NA,1
2006,NA,36,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,28,1,NA,1,NA,NA,2,2,NA,1,NA,0.5,NA,3
2006,NA,32,1,NA,2,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,25,1,NA,2,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,59,1,NA,3,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,71,1,NA,3,NA,NA,1,2,NA,1,NA,0.5,NA,1
2006,NA,57,1,NA,1,NA,NA,NA,1,3,2,NA,1,NA,1
2006,NA,51,1,NA,1,NA,NA,NA,1,3,2,NA,1,NA,1
2006,NA,20,1,NA,5,NA,NA,NA,1,3,2,NA,0.5,NA,3
2006,NA,34,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,40,1,NA,2,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,46,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,31,1,NA,5,NA,NA,NA,2,NA,1,NA,1,NA,NA
2006,NA,40,1,NA,2,NA,NA,2,2,NA,1,NA,0.5,NA,3
2006,NA,40,1,NA,2,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,23,1,NA,2,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,NA
2006,NA,37,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,89,NA,NA,1,NA,NA,1,2,NA,1,NA,0.5,NA,1
2006,NA,40,1,NA,2,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,76,1,NA,3,NA,NA,2,2,NA,1,NA,0.5,NA,NA
2006,NA,21,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,42,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,53,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,39,1,NA,1,NA,NA,2,2,NA,1,NA,0.5,NA,NA
2006,NA,45,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,31,1,NA,1,NA,NA,NA,1,3,2,NA,0.5,NA,1
2006,NA,32,1,NA,3,NA,NA,1,2,NA,1,NA,1,NA,NA
2006,NA,32,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,63,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,40,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,53,1,NA,1,NA,NA,1,2,NA,1,NA,1,NA,3
2006,NA,55,1,NA,3,NA,NA,1,2,NA,1,NA,NA,NA,NA
2006,NA,35,1,NA,1,NA,NA,NA,1,3,2,NA,1,NA,NA
2006,NA,76,1,NA,1,NA,NA,1,2,NA,1,NA,0.5,NA,2
2006,NA,75,1,NA,3,NA,NA,NA,1,3,2,NA,0.5,NA,NA
2006,NA,38,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,30,1,NA,5,NA,NA,NA,1,1,3,NA,0.5,NA,1
2006,NA,45,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,35,1,NA,5,NA,NA,2,2,NA,1,NA,0.5,NA,3
2006,NA,35,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,40,1,NA,3,NA,NA,NA,1,1,3,NA,0.5,NA,1
2006,NA,34,1,NA,1,NA,NA,1,2,NA,1,NA,0.5,NA,1
2006,NA,45,1,NA,3,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,NA,1,NA,2,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,49,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,42,1,NA,1,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,30,1,NA,1,NA,NA,1,2,NA,1,NA,1,NA,3
2006,NA,42,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,30,1,NA,1,NA,NA,NA,1,1,3,NA,0.5,NA,3
2006,NA,48,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,33,1,NA,1,NA,NA,NA,1,1,3,NA,0,NA,3
2006,NA,20,1,NA,1,NA,NA,1,2,NA,1,NA,1,NA,NA
2006,NA,58,1,NA,3,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,18,1,NA,5,NA,NA,2,2,NA,1,NA,0.5,NA,NA
2006,NA,52,1,NA,1,NA,NA,1,2,NA,1,NA,0.5,NA,1
2006,NA,22,1,NA,5,NA,NA,2,2,NA,1,NA,0.5,NA,2
2006,NA,27,1,NA,5,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,21,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,30,1,NA,2,NA,NA,2,2,NA,1,NA,0.5,NA,NA
2006,NA,48,1,NA,5,NA,NA,2,2,NA,1,NA,0.5,NA,1
2006,NA,50,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,42,1,NA,1,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,38,1,NA,3,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,34,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,20,1,NA,2,NA,NA,NA,1,3,2,NA,1,NA,1
2006,NA,NA,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,37,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,30,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,55,1,NA,3,NA,NA,NA,1,2,2,NA,0.5,NA,3
2006,NA,42,1,NA,3,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,33,1,NA,2,NA,NA,NA,1,1,3,NA,1,NA,2
2006,NA,32,1,NA,2,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,NA,1,NA,NA,NA,NA,2,2,NA,1,NA,0.5,NA,NA
2006,NA,38,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,26,1,NA,3,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,77,NA,NA,3,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,54,1,NA,1,NA,NA,2,2,NA,1,NA,0.5,NA,1
2006,NA,35,1,NA,1,NA,NA,2,2,NA,1,NA,0.5,NA,3
2006,NA,28,1,NA,1,NA,NA,1,2,NA,1,NA,0.5,NA,NA
2006,NA,38,1,NA,5,NA,NA,1,2,NA,1,NA,1,NA,3
2006,NA,24,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,52,1,NA,1,NA,NA,NA,1,1,3,NA,1,NA,NA
2006,NA,NA,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,31,1,NA,2,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,29,NA,NA,1,NA,NA,NA,1,3,2,NA,0.5,NA,NA
2006,NA,39,1,NA,2,NA,NA,2,2,NA,1,NA,0.5,NA,3
2006,NA,32,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,52,1,NA,5,NA,NA,2,2,NA,1,NA,0.5,NA,1
2006,NA,33,1,NA,1,NA,NA,2,2,NA,1,NA,0.5,NA,3
2006,NA,25,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,48,1,NA,1,NA,NA,1,2,NA,1,NA,0.5,NA,2
2006,NA,27,1,NA,5,NA,NA,NA,1,1,3,NA,1,NA,3
2006,NA,75,1,NA,1,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,40,1,NA,3,NA,NA,NA,1,3,2,NA,0.5,NA,3
2006,NA,64,1,NA,1,NA,NA,NA,1,3,2,NA,0,NA,2
2006,NA,19,1,NA,1,NA,NA,NA,1,3,2,NA,0.5,NA,1
2006,NA,37,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,42,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,22,1,NA,2,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,18,1,NA,3,NA,NA,NA,1,1,3,NA,0.5,NA,3
2006,NA,40,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,38,1,NA,3,NA,NA,NA,1,2,2,NA,0.5,NA,3
2006,NA,30,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,36,1,NA,3,NA,NA,NA,1,3,2,NA,0.5,NA,2
2006,NA,29,1,NA,1,NA,NA,2,2,NA,1,NA,0.5,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,0.5,NA,NA
2006,NA,18,1,NA,5,NA,NA,NA,1,3,2,NA,0.5,NA,NA
2006,NA,33,1,NA,1,NA,NA,1,2,NA,1,NA,1,NA,3
2006,NA,34,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,45,1,NA,3,NA,NA,1,2,NA,1,NA,0.5,NA,NA
2006,NA,76,1,NA,3,NA,NA,1,2,NA,1,NA,0.5,NA,NA
2006,NA,43,1,NA,3,NA,NA,NA,1,1,3,NA,0.5,NA,3
2006,NA,35,1,NA,2,NA,NA,NA,1,3,2,NA,0.5,NA,1
2006,NA,42,1,NA,1,NA,NA,NA,1,3,2,NA,1,NA,1
2006,NA,37,NA,NA,1,NA,NA,2,2,NA,1,NA,0.5,NA,NA
2006,NA,25,1,NA,3,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,36,1,NA,5,NA,NA,2,2,NA,1,NA,0.5,NA,3
2006,NA,55,1,NA,1,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,40,1,NA,2,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,56,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,48,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,40,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,57,1,NA,1,NA,NA,NA,1,2,2,NA,0.5,NA,1
2006,NA,38,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,35,1,NA,3,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,56,1,NA,1,NA,NA,NA,1,1,3,NA,1,NA,2
2006,NA,22,1,NA,5,NA,NA,1,2,NA,1,NA,1,NA,3
2006,NA,50,1,NA,3,NA,NA,1,2,NA,1,NA,1,NA,2
2006,NA,27,1,NA,1,NA,NA,2,2,NA,1,NA,0.5,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,0.5,NA,NA
2006,NA,20,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,2
2006,NA,20,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,81,1,NA,3,NA,NA,NA,1,3,2,NA,1,NA,1
2006,NA,53,1,NA,2,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,30,1,NA,1,NA,NA,2,2,NA,1,NA,0.5,NA,NA
2006,NA,39,1,NA,1,NA,NA,NA,1,1,3,NA,1,NA,1
2006,NA,42,1,NA,5,NA,NA,1,2,NA,1,NA,0.5,NA,2
2006,NA,38,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,39,1,NA,2,NA,NA,2,2,NA,1,NA,0.5,NA,NA
2006,NA,75,1,NA,4,NA,NA,1,2,NA,1,NA,0.5,NA,1
2006,NA,20,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,72,1,NA,1,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,37,NA,NA,1,NA,NA,NA,1,3,2,NA,1,NA,1
2006,NA,18,1,NA,5,NA,NA,NA,1,2,2,NA,0.5,NA,NA
2006,NA,63,1,NA,1,NA,NA,1,2,NA,1,NA,1,NA,3
2006,NA,29,1,NA,2,NA,NA,1,2,NA,1,NA,0.5,NA,1
2006,NA,34,NA,NA,1,NA,NA,1,2,NA,1,NA,0.5,NA,1
2006,NA,34,1,NA,1,NA,NA,NA,1,3,2,NA,0.5,NA,NA
2006,NA,18,1,NA,5,NA,NA,NA,1,3,2,NA,0.5,NA,NA
2006,NA,28,1,NA,2,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,42,1,NA,2,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,30,1,NA,1,NA,NA,1,2,NA,1,NA,0.5,NA,NA
2006,NA,28,1,NA,5,NA,NA,NA,1,1,3,NA,1,NA,1
2006,NA,76,1,NA,4,NA,NA,1,2,NA,1,NA,1,NA,NA
2006,NA,42,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,34,1,NA,5,NA,NA,NA,2,NA,1,NA,0.5,NA,1
2006,NA,70,1,NA,4,NA,NA,2,2,NA,1,NA,0.5,NA,3
2006,NA,55,1,NA,5,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,0.5,NA,NA
2006,NA,22,1,NA,2,NA,NA,NA,1,2,2,NA,NA,NA,3
2006,NA,40,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,51,1,NA,1,NA,NA,1,2,NA,1,NA,0.5,NA,1
2006,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,32,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,39,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,48,1,NA,2,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,38,1,NA,1,NA,NA,2,2,NA,1,NA,0.5,NA,3
2006,NA,26,1,NA,3,NA,NA,2,2,NA,1,NA,0.5,NA,NA
2006,NA,74,1,NA,4,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,53,1,NA,1,NA,NA,1,2,NA,1,NA,0.5,NA,1
2006,NA,NA,1,NA,1,NA,NA,1,2,NA,1,NA,1,NA,NA
2006,NA,32,1,NA,1,NA,NA,NA,1,3,2,NA,0,NA,1
2006,NA,34,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,2
2006,NA,44,1,NA,2,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,56,1,NA,3,NA,NA,2,2,NA,1,NA,0.5,NA,1
2006,NA,25,1,NA,3,NA,NA,2,2,NA,1,NA,0.5,NA,3
2006,NA,43,1,NA,5,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,33,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,29,1,NA,1,NA,NA,NA,1,3,2,NA,1,NA,3
2006,NA,75,1,NA,3,NA,NA,1,2,NA,1,NA,NA,NA,1
2006,NA,56,1,NA,3,NA,NA,NA,1,3,2,NA,0,NA,3
2006,NA,47,1,NA,1,NA,NA,1,2,NA,1,NA,0.5,NA,2
2006,NA,42,1,NA,3,NA,NA,NA,1,3,2,NA,1,NA,3
2006,NA,45,1,NA,5,NA,NA,NA,1,1,3,NA,1,NA,1
2006,NA,29,1,NA,2,NA,NA,2,2,NA,1,NA,0,NA,3
2006,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,1,NA,NA
2006,NA,27,1,NA,3,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,25,1,NA,2,NA,NA,NA,1,1,3,NA,1,NA,3
2006,NA,47,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,33,1,NA,5,NA,NA,NA,1,1,3,NA,1,NA,3
2006,NA,90,1,NA,4,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,33,1,NA,3,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,32,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,1,NA,NA
2006,NA,55,1,NA,1,NA,NA,NA,1,3,2,NA,1,NA,1
2006,NA,35,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,20,1,NA,5,NA,NA,NA,1,3,2,NA,1,NA,3
2006,NA,NA,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,NA,1,NA,NA,NA,NA,NA,1,1,3,NA,0,NA,1
2006,NA,65,1,NA,4,NA,NA,NA,1,1,3,NA,0,NA,2
2006,NA,29,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,34,NA,NA,3,NA,NA,1,2,NA,1,NA,1,NA,NA
2006,NA,22,1,NA,2,NA,NA,NA,1,1,3,NA,0.5,NA,NA
2006,NA,53,1,NA,1,NA,NA,1,2,NA,1,NA,0.5,NA,1
2006,NA,48,1,NA,3,NA,NA,NA,1,1,3,NA,0.5,NA,1
2006,NA,28,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,70,NA,NA,4,NA,NA,1,2,NA,1,NA,0.5,NA,3
2006,NA,65,1,NA,5,NA,NA,1,2,NA,1,NA,0.5,NA,3
2006,NA,24,1,NA,1,NA,NA,2,2,NA,1,NA,0.5,NA,1
2006,NA,18,1,NA,1,NA,NA,NA,1,2,2,NA,1,NA,2
2006,NA,39,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,59,1,NA,3,NA,NA,2,2,NA,1,NA,0.5,NA,NA
2006,NA,49,1,NA,1,NA,NA,1,2,NA,1,NA,0.5,NA,1
2006,NA,46,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,40,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,20,1,NA,5,NA,NA,NA,1,3,2,NA,0.5,NA,1
2006,NA,28,1,NA,2,NA,NA,NA,1,1,3,NA,1,NA,2
2006,NA,39,1,NA,1,NA,NA,1,2,NA,1,NA,0.5,NA,1
2006,NA,47,1,NA,3,NA,NA,NA,1,1,3,NA,1,NA,1
2006,NA,34,1,NA,1,NA,NA,NA,1,2,2,NA,0.5,NA,1
2006,NA,42,1,NA,3,NA,NA,NA,1,1,3,NA,0.5,NA,2
2006,NA,45,1,NA,3,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,55,1,NA,3,NA,NA,2,2,NA,1,NA,0.5,NA,3
2006,NA,54,NA,NA,1,NA,NA,2,2,NA,1,NA,0.5,NA,NA
2006,NA,21,1,NA,5,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,27,1,NA,5,NA,NA,NA,2,NA,1,NA,1,NA,1
2006,NA,26,1,NA,1,NA,NA,NA,2,NA,1,NA,1,NA,3
2006,NA,25,1,NA,5,NA,NA,NA,1,1,3,NA,1,NA,NA
2006,NA,37,1,NA,1,NA,NA,NA,1,3,2,NA,1,NA,1
2006,NA,48,1,NA,4,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,45,1,NA,3,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,1,NA,3
2006,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,1,NA,NA
2006,NA,38,1,NA,1,NA,NA,NA,1,3,2,NA,1,NA,NA
2006,NA,21,1,NA,2,NA,NA,2,2,NA,1,NA,1,NA,3
2006,NA,42,1,NA,1,NA,NA,NA,1,3,2,NA,1,NA,NA
2006,NA,26,1,NA,1,NA,NA,2,2,NA,1,NA,0.5,NA,NA
2006,NA,40,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,1,NA,NA
2006,NA,58,1,NA,1,NA,NA,NA,1,2,2,NA,0.5,NA,2
2006,NA,70,1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,1
2006,NA,30,1,NA,4,NA,NA,1,2,NA,1,NA,1,NA,NA
2006,NA,20,1,NA,5,NA,NA,NA,1,2,2,NA,1,NA,3
2006,NA,45,1,NA,1,NA,NA,NA,1,2,2,NA,0,NA,3
2006,NA,49,1,NA,1,NA,NA,NA,1,1,3,NA,0.5,NA,1
2006,NA,47,1,NA,1,NA,NA,1,2,NA,1,NA,0.5,NA,3
2006,NA,62,1,NA,1,NA,NA,NA,1,3,2,NA,1,NA,2
2006,NA,27,1,NA,5,NA,NA,1,2,NA,1,NA,1,NA,1
2006,NA,51,1,NA,5,NA,NA,2,2,NA,1,NA,0.5,NA,NA
2006,NA,20,1,NA,5,NA,NA,NA,1,3,2,NA,0.5,NA,3
2006,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,1,NA,NA
